"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PP","PSdeG–PSOE","En Común","BNG","Vox","Cs","v1x2","last_day","fuente","titular","urlDW"
"1","Sondaxe/La Voz de Galicia","1–7 Oct 2020",1223,NA,33.9,28.2,10.3,12.3,NA,NA,"5.7",2020-10-07,"https://www.lavozdegalicia.es/noticia/espana/2020/10/11/bngarrebataria-escano-psoe-pontevedra-generales/00031602418402475140565.htm","""El BNG arrebataría un escaño al PSOE en Pontevedra en las generales""","<a href= https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                      text-decoration: underline""> Sondaxe/La Voz de Galicia </a>"
"2","Sondaxe/La Voz de Galicia","15–22 Jan 2020",1223,NA,32,30.2,12.6,9.6,"7.6","3.1","1.8",2020-01-22,"https://www.lavozdegalicia.es/noticia/espana/2020/01/25/opinion-sobre-gobierno-divide-gallegos-dos-bloques-empatados/0003_202001G25P16991.htm","""La opinión sobre el Gobierno divide a los gallegos en dos bloques empatados""","<a href= https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                      text-decoration: underline""> Sondaxe/La Voz de Galicia </a>"
