"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PP","PSOE","Vox","Unidas Podemos","Cs","v1x2","last_day","fuente","titular","urlDW"
"1","Sigma Dos/RTVCyL","2–9 Dec 2020",3300,NA,36.2,30.6,15.4,"7.3","6.8","5.6",2020-12-09,"https://www.cyltv.es/noticia/630ed31f-ca73-874f-38faf069565ae2d8/20201217/el-pp-ganaria-las-elecciones-generales-en-castilla-y-leon-con-el-362-de-los-votos","""El PP ganaría las elecciones generales en Castilla y León con el 36,2% de los votos""","<a href= https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                      text-decoration: underline""> Sigma Dos/RTVCyL </a>"
"2","Sigma Dos/RTVCyL","14–19 May 2020",1200,NA,34.8,32.1,11.7,"9.2","7.3","2.7",2020-05-19,"https://www.rtvcyl.es/noticia/7111A365-03BA-7EF9-EB1E21D36E009BB3/20200528","""El PP ganaría las elecciones generales en Castilla y León con un 34,8% de los votos""","<a href= https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                      text-decoration: underline""> Sigma Dos/RTVCyL </a>"
