"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSOE","PP","Cs","Podemos","IU/IX","FAC","Vox","Unidas Podemos","v1x2","last_day","fuente","titular","urlDW"
"1","ElectoPanel/Electomania","1 Apr-15 May 2020",NA,NA,43.3,19.6,7.2,5.8,7.2,5,"10.0",NA,"23.7",2020-05-15,"https://electomania.es/ep17myasturias/","EP (17My): Asturias - absoluta para Barbon","<a href= https://en.wikipedia.org/wiki/Next_Asturian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"2","SyM Consulting","4-6 May 2020",1194,62.2,43.9,19.8,6.4,6.3,6.6,4.2,"11.1",NA,"24.1",2020-05-06,"https://twitter.com/Barometrocm/status/1259908723021053954","Estimacion Mayo 2020. Principado de Asturias. Autonomicas 2023","<a href= https://en.wikipedia.org/wiki/Next_Asturian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SyM Consulting </a>"
