"","encuestadora_comisionado","trabajo_campo","muestra","participacion","Vox","PP","PSOE","Unidas Podemos","Cs","Más País","PACMA","Somos Región","v1x2","last_day","fuente","titular","urlDW"
"1","Murcia Electoral","29 Jul–5 Aug 2020",1841,NA,28.7,27.5,22.9,8.8,6.6,1.9,NA,"0.3","1.2",2020-08-05,"https://murciaelectoral.es/wp-content/uploads/2020/08/BAROMETROGENERALES.pdf","""Barómetro Región de Murcia. Elecciones Generales. Agosto de 2020""","<a href= https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> Murcia Electoral </a>"
"2","Murcia Electoral","2–9 Jun 2020",1721,NA,30.3,26.8,21.6,9.6,7.5,1.2,"0.9","0.4","3.5",2020-06-09,"https://murciaelectoral.es/vox-volveria-a-ganar-ampliando-mas-su-distancia/","""Vox volvería a ganar ampliando más su distancia""","<a href= https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> Murcia Electoral </a>"
