"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSOE","PP","Cs","Vox","Podemos","MCC","Somos Región","IU-V-RM","Unidas Podemos","Más País","v1x2","last_day","fuente","titular","urlDW"
"1","SyM Consulting","16-18 Oct 2020",1131,61.3,29.1,34.1,3.4,20.3,3.7,2.6,2.7,1.6,NA,NA,"5.0",NA,"https://twitter.com/Barometrocm/status/1324665543417307138/photo/1","Estimación Octubre 2020. Región de Murcia. Autonómicas 2023","<a href= https://en.wikipedia.org/wiki/Next_Murcian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SyM Consulting </a>"
"2","SyM Consulting","30-31 Mar 2020",1089,60.6,30.6,33.8,8.7,14.8,3.4,2.6,2.3,1.5,NA,NA,"3.2",NA,"https://twitter.com/Barometrocm/status/1246126572324687873","Estimación Marzo 2020. Región de Murcia. Autonómicas 2023","<a href= https://en.wikipedia.org/wiki/Next_Murcian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SyM Consulting </a>"
"3","ElectoPanel/Electomanía","6-8 Dec 2019",NA,NA,26,25.4,7.8,24.3,6.6,2.9,2.8,1.7,NA,"1.0","0.6",NA,"https://electomania.es/eprm10dic/","ElectoPanel (Región de Murcia 10Dic): Vox le disputa la hegemonía de la derecha al PP. MC Cartagena y Somos Región, al borde del escaño","<a href= https://en.wikipedia.org/wiki/Next_Murcian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomanía </a>"
"4","Sigma Dos/La Verdad","9-10 Jul 2019",600,NA,35.4,31.2,9.6,11.9,5.3,NA,NA,NA,NA,NA,"4.2",NA,"https://www.laverdad.es/murcia/psoe-ganaria-ventaja-20190715001707-ntvo.html","El PSOE ganaría con más ventaja en la Región de Murcia y Vox le daría el 'sorpasso' a Ciudadanos","<a href= https://en.wikipedia.org/wiki/Next_Murcian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/La Verdad </a>"
"5","CEMOP","2-15 Oct 2020",825,64.9,27.3,39.3,6.8,15.7,NA,NA,NA,NA,"4.9",NA,"12.0",NA,"http://www.cemopmurcia.es/wp-content/uploads/2020/11/BAROMETRO-OTO%C3%91O-20-COMPLETO-1.pdf","Barómetro Región de Murcia. Escenarios Políticos ante la Segunda Ola de la Pandemia. Otoño 2020","<a href= https://en.wikipedia.org/wiki/Next_Murcian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CEMOP </a>"
"6","Murcia Electoral","29 Jul-5 Aug 2020",1841,NA,31.4,33.9,9.6,10.9,5.1,2.3,2.2,0.4,NA,"1.9","2.5",NA,"https://murciaactualidad.com/el-pp-ganaria-la-elecciones-autonomicas-aunque-seguiria-necesitando-a-vox-y-ciudadanos-para-gobernar-segun-el-ultimo-sondeo-de-murcia-electoral/","El PP ganaría la elecciones autonómicas aunque seguiría necesitando a Vox y Ciudadanos para gobernar según el último sondeo de Murcia Electoral","<a href= https://en.wikipedia.org/wiki/Next_Murcian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Murcia Electoral </a>"
"7","Murcia Electoral","2-9 Jun 2020",1721,NA,29.6,34.1,9.2,11.8,5.7,2.2,2.5,0.3,NA,"2.2","4.5",NA,"https://murciaelectoral.es/wp-content/uploads/2020/06/BAR%C3%93METRO-MURCIA-ELECTORAL-ELECCIONES-AUTON%C3%93MICAS.pdf","Barómetro Región de Murcia. Elecciones Autonómicas. Junio de 2020","<a href= https://en.wikipedia.org/wiki/Next_Murcian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Murcia Electoral </a>"
"8","ElectoPanel/Electomanía","1 Apr-15 May 2020",NA,NA,33.6,38.5,6.5,11.4,4.3,1.7,1.7,0.9,NA,NA,"4.9",NA,"https://electomania.es/ep-17my-murcia/","EP (17My): R. Murcia - subida de PP y Vox","<a href= https://en.wikipedia.org/wiki/Next_Murcian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomanía </a>"
"9","CEMOP","20-29 Apr 2020",804,64.2,31,38.8,7.9,11.8,NA,NA,NA,NA,"5.5",NA,"7.8",NA,"http://www.cemopmurcia.es/wp-content/uploads/2020/05/BAROMETRO-CEMOP-PRIMAVERA-2020.pdf","Barómetro Región de Murcia. Cambios y Permanencias. Primavera 2020","<a href= https://en.wikipedia.org/wiki/Next_Murcian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CEMOP </a>"
