"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSOE","PP","Cs","Vox","Unidas Podemos","v1x2","last_day","fuente","titular","urlDW"
"1","ElectoPanel/Electomanía","15 Jul 2020",850,NA,38.6,33.5,7.7,"10.2","8.1","5.1",2020-07-15,"https://electomania.es/epautonomico15jul20/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Castilian-Manchegan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"2","PSOE","3 Dec 2019",NA,NA,NA,NA,NA,NA,NA,NA,2019-12-03,"https://www.eldigitalcastillalamancha.es/actualidad/542360425/Encuesta-del-PSOE-CLM-Page-sube-y-la-bajada-de-PP-y-Cs-meteria-a-Vox-en-las-Cortes.html","PSOE","<a href= https://en.wikipedia.org/wiki/Next_Castilian-Manchegan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> PSOE </a>"
"3","PSOE","29 Jun–10 Jul 2020",2500,NA,42.3,31.5,7.6,NA,"6.4","10.8",NA,"https://www.latribunadeciudadreal.es/noticia/ZA7FDAFDC-B1FF-F092-5F40FF7716D4839A/EL-PSOE-mantendria-la-mayoria-absoluta-en-CLM","PSOE","<a href= https://en.wikipedia.org/wiki/Next_Castilian-Manchegan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> PSOE </a>"
"4","SyM Consulting","20–22 May 2020",3209,68.3,37.5,29.6,5.9,"16.5","8.4","7.9",NA,"https://twitter.com/Barometrocm/status/1266677805284298754","SyM Consulting","<a href= https://en.wikipedia.org/wiki/Next_Castilian-Manchegan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
"5","NC Report/La Razón","17–21 May 2020",1858,NA,40.3,33.7,6.5,"11.2","6.4","6.6",NA,"https://www.larazon.es/espana/20200531/dfcotsnt2ncwxhtzyilaxk3hry.html","NC Report/La Razón","<a href= https://en.wikipedia.org/wiki/Next_Castilian-Manchegan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> NC Report/La Razón </a>"
"6","ElectoPanel/Electomanía","1 Apr–15 May 2020",NA,NA,40.4,36.2,5.8,"7.9","8.0","4.2",NA,"https://electomania.es/ep-17my-castilla-la-mancha/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Castilian-Manchegan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"7","Numeral 8/La Tribuna","20–24 Jan 2020",1050,NA,43.4,29.9,9.1,"8.6","7.6","13.5",NA,"https://www.latribunadetoledo.es/Noticia/Z4557ECD5-9BA5-DF78-8ED281CDF4E92D73/202002/Page-resiste-en-la-region-y-mantiene-la-mayoria-absoluta","Numeral 8/La Tribuna","<a href= https://en.wikipedia.org/wiki/Next_Castilian-Manchegan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> Numeral 8/La Tribuna </a>"
