"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSIB–PSOE","PP","Cs","Unidas Podemos","Més","Vox","Proposta per les Illes","MxMe","GxF","v1x2","last_day","fuente","titular","urlDW"
"1","IBES/Última Hora","8–12 Jun 2020",1000,NA,28.7,24.2,7,9,8.2,10.4,5.8,"1.3",NA,"4.5",2020-06-12,"https://www.ultimahora.es/noticias/local/2020/06/21/1174825/partidos-izquierdas-ganan-pero-armengol-sube-costa-socios.html","""Los partidos de izquierdas ganan pero Armengol sube a costa de sus socios""","<a href= https://en.wikipedia.org/wiki/Next_Balearic_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> IBES/Última Hora </a>"
"2","ElectoPanel/Electomanía","1 Apr–15 May 2020",NA,NA,26.8,25.3,5.9,9.7,10.4,8.2,7.4,"1.3","0.6","1.5",2020-05-15,"https://electomania.es/ep-17my-baleares/","""EP (17My): Baleares – sube el PP, pero Armengol podría mantener el Gobierno""","<a href= https://en.wikipedia.org/wiki/Next_Balearic_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
