"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSOE","PP","Cs","Vox","Podemos","IUCyL","UPL","XAV","Unidas Podemos","v1x2","last_day","fuente","titular","urlDW"
"1","Sigma Dos/RTVCyL","2-9 Dec 2020",3300,NA,31.7,37.1,7.4,12.1,NA,NA,1.4,"0.3","7.1","5.4",NA,"https://www.cyltv.es/noticia/2e5c3e1a-fb8a-d975-73ea9e064834b134/20201216/el-pp-ganaria-las-elecciones-y-se-quedaria-a-tres-procuradores-de-una-mayoria-que-le-daria-cs","El PP ganaría las elecciones y se quedaría a tres procuradores de una mayoría que le daría C´s","<a href= https://en.wikipedia.org/wiki/Next_Castilian-Leonese_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/RTVCyL </a>"
"2","ElectoPanel/Electomanía","1 Apr-15 May 2020",NA,NA,36.2,38.2,7.9,6,4.7,0.8,2.3,"0.7",NA,"2.0",NA,"https://electomania.es/ep15s20autonomicas/","EP (15S): Ciudadanos se crece en Castilla y León y sería decisivo para el próximo gobierno","<a href= https://en.wikipedia.org/wiki/Next_Castilian-Leonese_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomanía </a>"
"3","Sigma Dos/RTVCyL","14-19 May 2020",1200,NA,33.4,36.6,7.2,10.5,NA,NA,NA,NA,"6.9","3.2",NA,"https://www.rtvcyl.es/noticia/39DE5345-C0E7-E91C-845CEF006963014A/20200527","El PP volvería a ganar las elecciones y dependería de Vox para formar gobierno en Castilla y León","<a href= https://en.wikipedia.org/wiki/Next_Castilian-Leonese_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/RTVCyL </a>"
"4","ElectoPanel/Electomanía","1 Apr-15 May 2020",NA,NA,34.5,38.8,7.5,7.1,4.4,1.5,2.1,"0.5",NA,"3.3",NA,"https://electomania.es/ep-17my-castillayleon/","EP (17My): Castilla y León - subidón de Mañueco, que roza la absoluta","<a href= https://en.wikipedia.org/wiki/Next_Castilian-Leonese_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomanía </a>"
