"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSOE","PP","Cs","Podemos","CHA","Vox","PAR","IU","Unidas Podemos","Mas Pais-CHA-Equo","TE","v1x2","last_day","fuente","titular","urlDW"
"1","ElectoPanel/Electomania","12 Jul-13 Aug 2020",NA,NA,30.7,25.5,8.1,8.1,5.1,8.9,3.6,2.9,NA,NA,"3.1","5.2",2020-08-13,"https://electomania.es/epa15a20/","EP Autonomico (15Ag): Teruel Existe seria clave en Aragon, con los dos bloques muy igualados. Multiple empate en Andalucia","<a href= https://en.wikipedia.org/wiki/Next_Aragonese_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"2","ElectoPanel/Electomania","12 Jul-13 Aug 2020",NA,NA,31.9,26,8.3,8.3,5.4,9,4.3,2.9,NA,NA,NA,"5.9",2020-08-13,"https://electomania.es/epa15a20/","EP Autonomico (15Ag): Teruel Existe seria clave en Aragon, con los dos bloques muy igualados. Multiple empate en Andalucia","<a href= https://en.wikipedia.org/wiki/Next_Aragonese_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"3","SyM Consulting","28-30 May 2020",1952,68.2,28.8,25.4,7.2,8.2,5.7,14.4,4.8,2,NA,NA,NA,"3.4",2020-05-30,"https://twitter.com/Barometrocm/status/1268235159792422915","Estimacion Mayo 2020. Aragon. Autonomicas 2023","<a href= https://en.wikipedia.org/wiki/Next_Aragonese_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SyM Consulting </a>"
"4","ElectoPanel/Electomania","1 Apr-15 May 2020",NA,NA,33.2,26.5,8.7,8.4,5.4,7.8,4.2,2.9,NA,NA,NA,"6.7",2020-05-15,"https://electomania.es/ep-17my-aragon/","EP (17My): Aragon - Lamban sube, y el PP tambien","<a href= https://en.wikipedia.org/wiki/Next_Aragonese_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
